text,labels
Habla de verdad y solo cuenta su parte,0
La fuerza del pueblo es más fuerte que cualquier crisis,3
Más del 60 % de los empleos creados en pandemia fueron informales,2
No hay fuerza más grande que la esperanza,3
Se llena la boca de patria y vacía los bolsillos del Estado,0
El sol volverá a brillar sobre nuestra tierra,3
"Dice que ama al país, pero lo ve como un negocio familiar",0
"Se dice ejemplo, pero su historia está llena de sombras",0
"Con fe, trabajo y amor lograremos lo que soñamos",3
El país que soñamos depende de cada uno de [PARTIDO],3
[POLÍTICO] político solo se indigna cuando le conviene,0
"Se presenta como humilde, pero desprecia a los demás",0
"[ADVERSARIO] viven del privilegio, [PARTIDO] vivimos de la esperanza",1
"[PARTIDO] somos mayoría, [ADVERSARIO] son ruido",1
"[ADVERSARIO] confunden crítica con traición, [PARTIDO] sabemos que es deber",1
Habla de libertad y censura a sus críticos,0
"Promete educación, pero no lee ni los informes",0
"Las cifras de desnutrición infantil se redujeron en 3 puntos, pero aún son alarmantes",2
El 70 % de las regiones no cumple metas ambientales,2
"El PBI del país creció 2,5 % durante el último trimestre",2
El acceso a internet rural apenas cubre el 25 % de los hogares,2
El índice de confianza en las instituciones cayó por quinto año consecutivo,2
"[ADVERSARIO] dividen regiones, [PARTIDO] unimos corazones",1
"[ADVERSARIO] nos llaman revoltosos, [PARTIDO] nos llamamos ciudadanos",1
El 80 % de los trabajadores agrícolas no tiene contrato,2
Más del 30 % de los escolares rurales no tiene acceso a materiales digitales,2
"El déficit fiscal se redujo al 2,1 % del PBI en el último año",2
La inversión pública regional cayó 14 % respecto al año anterior,2
El 40 % de las familias peruanas vive sin acceso a alcantarillado,2
"[ADVERSARIO] nos llaman resentidos, [PARTIDO] los llamamos responsables",1
La contaminación del aire en Lima excede tres veces los límites de la OMS,2
El 50 % de los conflictos sociales está relacionado con minería,2
"[ADVERSARIO] viven de los impuestos, [PARTIDO] los pagamos",1
"Habla como si fuera el salvador del país, pero no salvó ni su empresa",0
El 70 % de los municipios no cuenta con planta de reciclaje,2
¿Cómo va a hablar de justicia alguien que nunca pisó un juzgado?,0
Promete eficiencia y culpa al pasado de su incompetencia,0
Uno de cada tres jóvenes no estudia ni trabaja,2
El 80 % de las viviendas informales no cumple normas de seguridad,2
El 25 % del gas natural producido se desperdicia por fugas,2
El Perú que soñamos está más cerca que nunca,3
"Porque el Perú no se rinde, el Perú se levanta",3
Nada podrá detener la voluntad del pueblo,3
"[ADVERSARIO] celebran, [PARTIDO] seguimos luchando",1
La esperanza de vida en zonas rurales es cinco años menor que en Lima,2
Hoy empieza una nueva etapa de transformación,3
Habla de unidad nacional y no puede unir a su equipo,0
El 90 % de las cárceles del país está en estado de hacinamiento,2
Este es el momento de transformar la historia,3
No hay montaña tan alta cuando la voluntad es firme,3
"[ADVERSARIO] viven del pasado, [PARTIDO] soñamos el futuro",1
Ha llegado la hora de creer otra vez,3
Nada puede detener la voluntad de un pueblo,3
[POLÍTICO] político cambia de discurso como de corbata,0
"[PARTIDO] producimos riqueza, [ADVERSARIO] la esconden",1
"[ADVERSARIO] destruyen el país con decretos, [PARTIDO] lo construimos con trabajo",1
Solo una de cada cuatro municipalidades tiene plan de seguridad ciudadana,2
El Perú será lo que su pueblo quiera que sea,3
Promete meritocracia y coloca a sus amigos,0
El 30 % de las universidades no cuenta con docentes a tiempo completo,2
Hoy es el momento de volver a empezar,3
"Nuestro destino es grande, porque grande es nuestra gente",3
"Unidos, nada ni nadie podrá detenernos",3
"[ADVERSARIO] tienen poder, [PARTIDO] tenemos dignidad",1
"[ADVERSARIO] se visten de pueblo, [PARTIDO] lo somos",1
"Predica esperanza, pero actúa con miedo",0
"[ADVERSARIO] se creen dueños del país, [PARTIDO] lo mantenemos vivo",1
Nuestra unión será la semilla del futuro,3
La esperanza iluminará nuestro camino,3
"[POLÍTICO] político no debate, solo ataca",0
Predica humildad con chofer y escolta,0
El 80 % de los gobiernos locales cambia su personal técnico cada gestión,2
"[ADVERSARIO] mandan al pueblo a marchar, pero nunca marchan con él",1
El 90 % de los mercados municipales opera sin control sanitario,2
Cada peruano es protagonista del cambio,3
El precio de los alimentos subió un 10 % en los últimos doce meses,2
"El pueblo peruano nunca se rinde, siempre avanza",3
"[ADVERSARIO] viven de promesas, [PARTIDO] de esfuerzo",1
El Perú será ejemplo de transformación,3
El 70 % de las familias rurales produce para autoconsumo,2
"[PARTIDO] trabajamos la tierra, [ADVERSARIO] trabajan el poder",1
El 80 % de las universidades privadas no cumple estándares de investigación,2
Promete honestidad y miente en su hoja de vida,0
El consumo de gas natural se concentra en Lima y Callao,2
Nos une el amor por la tierra y la justicia,3
El 75 % de las familias urbanas usa transporte informal,2
El 90 % de los contratos con el Estado no tiene supervisión ciudadana,2
"[ADVERSARIO] hablan de futuro, [PARTIDO] luchamos por llegar a fin de mes",1
"Dice que respeta las leyes, pero las usa como escudo",0
"Nuestra lucha es por amor, no por poder",3
Ha llegado el amanecer de un nuevo Perú,3
Somos el eco de una generación que no se rinde,3
El 60 % de los municipios provinciales tiene déficit presupuestal,2
Habla de inclusión y excluye a quien no le aplaude,0
"[ADVERSARIO] tienen siglas, [PARTIDO] tenemos pueblo",1
El 80 % de las empresas familiares no sobrevive más de cinco años,2
"[ADVERSARIO] hablan de progreso, [PARTIDO] seguimos sin agua",1
Hoy el Perú renace con más fuerza que nunca,3
"Predica democracia, pero actúa como caudillo",0
El que no ha producido nada cree que puede administrar un país,0
Habla de moral como si fuera dueño de ella,0
"[ADVERSARIO] roban, [PARTIDO] trabajamos",1
Habla de igualdad y solo contrata a sus familiares,0
El 45 % de los contratos laborales no se formaliza,2
El 20 % de los jóvenes con título universitario está desempleado,2
El 45 % de las universidades carece de laboratorios equipados,2
"[ADVERSARIO] diseñan políticas, [PARTIDO] diseñamos estrategias para sobrevivir",1
"[ADVERSARIO] ven cifras, [PARTIDO] vemos hambre",1
La voz del pueblo es más fuerte que cualquier obstáculo,3
Habla de patria y firma contratos extranjeros,0
Juntos construiremos un país sin miedo y con fe,3
"[PARTIDO] resistimos, [ADVERSARIO] especulan",1
"[ADVERSARIO] viajan en caravanas, [PARTIDO] en combis llenas de sueños",1
"[PARTIDO] caminamos bajo el sol, [ADVERSARIO] bajo el privilegio",1
"El pueblo ha hablado, y su voz es la voz de la historia",3
El Perú merece más y vamos a dárselo,3
"El que se cree salvador busca poder, no justicia",0
"[PARTIDO] sembramos, [ADVERSARIO] se llevan la cosecha",1
El 70 % de los colegios públicos carece de bibliotecas,2
El 80 % de los pescadores artesanales no tiene seguro de salud,2
Predica transparencia con contratos bajo la mesa,0
Ha llegado la hora de la renovación total,3
"[ADVERSARIO] viajan al extranjero, [PARTIDO] seguimos arreglando lo nuestro",1
"Promete transparencia, pero bloquea preguntas",0
Promete meritocracia y premia la lealtad ciega,0
Seremos ejemplo de cambio para el mundo,3
Dice que ama la cultura y recorta su presupuesto,0
"Habla de igualdad, pero vive en privilegio",0
El país pierde más de 20 000 millones de soles al año por corrupción,2
"El Perú merece líderes que crean, no que duden",3
"Dice que gobierna para todos, pero escucha a unos pocos",0
"[ADVERSARIO] levantan muros, [PARTIDO] abrimos caminos",1
El Perú está listo para su gran transformación,3
"[ADVERSARIO] escriben leyes para protegerse, [PARTIDO] para sobrevivir",1
"[ADVERSARIO] se reparten el país, [PARTIDO] lo defendemos",1
Ha llegado la hora de unir esfuerzos,3
Somos una sola familia con un mismo destino,3
"Dice que viene del pueblo, pero no vuelve a visitarlo",0
La patria late en el corazón de cada peruano,3
El 35 % de los egresados universitarios trabaja fuera de su especialidad,2
"[PARTIDO] levantamos escuelas, [ADVERSARIO] levantan muros",1
"[PARTIDO] ponemos la fuerza, [ADVERSARIO] se llevan el crédito",1
El 60 % de los docentes rurales enseña en aulas multigrado,2
La mitad de los jóvenes rurales deja el colegio por falta de transporte,2
"[ADVERSARIO] se reparten los cargos, [PARTIDO] los problemas",1
"Siempre busca culpables, jamás soluciones",0
El que no cumple en su casa no cumplirá en el gobierno,0
"[ADVERSARIO] planifican campañas, [PARTIDO] planeamos sobrevivir",1
El Perú será ejemplo de esperanza para el mundo,3
El 90 % de los residuos plásticos termina en botaderos informales,2
Habla de ética y no puede sostener su mirada,0
Con amor a la patria todo se puede,3
El Perú volverá a ser ejemplo de fuerza y dignidad,3
"Critica a todos, pero no soporta una crítica",0
El número de microcréditos rurales aumentó en 15 %,2
"[ADVERSARIO] viven en sus oficinas con aire acondicionado, [PARTIDO] seguimos esperando agua en los cerros",1
La esperanza es el camino hacia el progreso,3
El 80 % de las pequeñas empresas carece de seguro de salud para sus empleados,2
"El Perú nos necesita unidos, no divididos",3
"[ADVERSARIO] tienen apellido, [PARTIDO] tenemos historia",1
Habla de transparencia y borra los informes incómodos,0
"[ADVERSARIO] se reparten ministerios, [PARTIDO] nos repartimos lo poco que hay",1
Dice que respeta la ley y la acomoda a su favor,0
"El Perú no se detiene, el Perú avanza",3
El que promete honestidad debería empezar por revisar sus contratos,0
"Dice que escucha al pueblo, pero solo oye los aplausos",0
"[PARTIDO] no tenemos padrinos, [ADVERSARIO] los tienen en cada ministerio",1
"[ADVERSARIO] prometen justicia, [PARTIDO] la buscamos",1
"[ADVERSARIO] se esconden tras discursos, [PARTIDO] damos la cara",1
Las regiones amazónicas aportan el 30 % del agua dulce del país,2
Somos la semilla del nuevo tiempo,3
"[ADVERSARIO] compran silencio, [PARTIDO] gritamos verdad",1
El 15 % de los hospitales regionales funciona sin especialistas,2
[POLÍTICO] congresista cree que gritar más fuerte lo hace tener razón,0
El 60 % de los programas de vivienda social no llega a su público objetivo,2
Predica unidad y genera conflicto,0
"El Perú no se vende, el Perú se defiende con esperanza",3
"[ADVERSARIO] hablan de desarrollo, [PARTIDO] seguimos sin luz",1
"[ADVERSARIO] viven de la política, [PARTIDO] vivimos con política",1
"El cambio no tiene color ni partido, tiene propósito",3
El 20 % del presupuesto educativo se gasta en mantenimiento de locales antiguos,2
Somos la generación que va a transformar el destino,3
