text,labels
Habla de verdad y solo cuenta su parte,0
No hay fuerza más grande que la esperanza,3
Se llena la boca de patria y vacía los bolsillos del Estado,0
Más de 50 000 escolares abandonaron clases tras la pandemia,2
El sol volverá a brillar sobre nuestra tierra,3
"Dice que ama al país, pero lo ve como un negocio familiar",0
"Se dice ejemplo, pero su historia está llena de sombras",0
El 45 % de los jóvenes peruanos trabaja sin contrato formal,2
"Con fe, trabajo y amor lograremos lo que soñamos",3
El país que soñamos depende de cada uno de [PARTIDO],3
[POLÍTICO] político solo se indigna cuando le conviene,0
"Se presenta como humilde, pero desprecia a los demás",0
"[ADVERSARIO] viven del privilegio, [PARTIDO] vivimos de la esperanza",1
"[ADVERSARIO] almuerzan en restaurantes de lujo, [PARTIDO] hacemos cola por un plato de arroz",1
"[PARTIDO] somos mayoría, [ADVERSARIO] son ruido",1
"[ADVERSARIO] confunden crítica con traición, [PARTIDO] sabemos que es deber",1
"[ADVERSARIO] nos dividen, [PARTIDO] seguimos resistiendo",1
"Promete educación, pero no lee ni los informes",0
"Las cifras de desnutrición infantil se redujeron en 3 puntos, pero aún son alarmantes",2
"El PBI del país creció 2,5 % durante el último trimestre",2
El acceso a internet rural apenas cubre el 25 % de los hogares,2
"[PARTIDO] ponemos los votos, [ADVERSARIO] ponen las condiciones",1
"[PARTIDO] gritamos verdad, [ADVERSARIO] gritan orden",1
Hoy el pueblo vuelve a tener la palabra,3
"[ADVERSARIO] dividen regiones, [PARTIDO] unimos corazones",1
El 80 % de los trabajadores agrícolas no tiene contrato,2
Más del 30 % de los escolares rurales no tiene acceso a materiales digitales,2
"El déficit fiscal se redujo al 2,1 % del PBI en el último año",2
La inversión pública regional cayó 14 % respecto al año anterior,2
El 40 % de las familias peruanas vive sin acceso a alcantarillado,2
Los tiempos mejores están a la vuelta de la esquina,3
"[ADVERSARIO] nos llaman resentidos, [PARTIDO] los llamamos responsables",1
La contaminación del aire en Lima excede tres veces los límites de la OMS,2
"[ADVERSARIO] viven de los impuestos, [PARTIDO] los pagamos",1
El que se dice demócrata insulta cada vez que alguien lo contradice,0
"Habla como si fuera el salvador del país, pero no salvó ni su empresa",0
El 70 % de los municipios no cuenta con planta de reciclaje,2
¿Cómo va a hablar de justicia alguien que nunca pisó un juzgado?,0
Promete eficiencia y culpa al pasado de su incompetencia,0
El 80 % de las viviendas informales no cumple normas de seguridad,2
El 25 % del gas natural producido se desperdicia por fugas,2
Se presenta como patriota y vende el país por contrato,0
"[ADVERSARIO] invierten en propaganda, [PARTIDO] invertimos en esperanza",1
Somos los constructores del mañana,3
Nada podrá detener la voluntad del pueblo,3
"[ADVERSARIO] celebran, [PARTIDO] seguimos luchando",1
La esperanza de vida en zonas rurales es cinco años menor que en Lima,2
Hoy empieza una nueva etapa de transformación,3
Habla de unidad nacional y no puede unir a su equipo,0
El 90 % de las cárceles del país está en estado de hacinamiento,2
"[ADVERSARIO] viven del pasado, [PARTIDO] soñamos el futuro",1
Ha llegado la hora de creer otra vez,3
Nada puede detener la voluntad de un pueblo,3
[POLÍTICO] político cambia de discurso como de corbata,0
"[PARTIDO] producimos riqueza, [ADVERSARIO] la esconden",1
Solo una de cada cuatro municipalidades tiene plan de seguridad ciudadana,2
Habla de los valores y los vende al mejor postor,0
El Perú será lo que su pueblo quiera que sea,3
Promete meritocracia y coloca a sus amigos,0
"Nuestro destino es grande, porque grande es nuestra gente",3
"Unidos, nada ni nadie podrá detenernos",3
"[ADVERSARIO] tienen poder, [PARTIDO] tenemos dignidad",1
"[ADVERSARIO] se visten de pueblo, [PARTIDO] lo somos",1
Nuestra unión será la semilla del futuro,3
"[POLÍTICO] político no debate, solo ataca",0
"[ADVERSARIO] reparten privilegios, [PARTIDO] compartimos necesidad",1
Predica humildad con chofer y escolta,0
El 80 % de los gobiernos locales cambia su personal técnico cada gestión,2
"[ADVERSARIO] mandan al pueblo a marchar, pero nunca marchan con él",1
El 90 % de los mercados municipales opera sin control sanitario,2
Cada peruano es protagonista del cambio,3
El precio de los alimentos subió un 10 % en los últimos doce meses,2
El Perú será ejemplo de transformación,3
El 70 % de las familias rurales produce para autoconsumo,2
"[PARTIDO] trabajamos la tierra, [ADVERSARIO] trabajan el poder",1
El 80 % de las universidades privadas no cumple estándares de investigación,2
El que dice representar al pueblo y lo insulta cuando protesta,0
La esperanza de vida promedio aumentó dos años desde 2010,2
Promete honestidad y miente en su hoja de vida,0
El consumo de gas natural se concentra en Lima y Callao,2
"[ADVERSARIO] niegan la historia, [PARTIDO] la recordamos con cicatrices",1
Nos une el amor por la tierra y la justicia,3
El 75 % de las familias urbanas usa transporte informal,2
El 90 % de los contratos con el Estado no tiene supervisión ciudadana,2
"[ADVERSARIO] hablan de futuro, [PARTIDO] luchamos por llegar a fin de mes",1
"[PARTIDO] votamos por esperanza, [ADVERSARIO] gobiernan con miedo",1
"Nuestra lucha es por amor, no por poder",3
Ha llegado el amanecer de un nuevo Perú,3
Somos el eco de una generación que no se rinde,3
El 60 % de los municipios provinciales tiene déficit presupuestal,2
Habla de inclusión y excluye a quien no le aplaude,0
"[ADVERSARIO] ven votos, [PARTIDO] vemos vidas",1
El presupuesto destinado a educación aumentó un 8 % respecto al año anterior,2
"[ADVERSARIO] tienen siglas, [PARTIDO] tenemos pueblo",1
El 80 % de las empresas familiares no sobrevive más de cinco años,2
"Critica la corrupción, pero se rodea de los mismos de siempre",0
"[ADVERSARIO] hablan de progreso, [PARTIDO] seguimos sin agua",1
"[ADVERSARIO] tienen medios, [PARTIDO] tenemos voz",1
"Predica democracia, pero actúa como caudillo",0
El que no ha producido nada cree que puede administrar un país,0
Habla de moral como si fuera dueño de ella,0
Habla de igualdad y solo contrata a sus familiares,0
El 45 % de los contratos laborales no se formaliza,2
El 20 % de los jóvenes con título universitario está desempleado,2
