text,labels
La fuerza del pueblo es más fuerte que cualquier crisis,3
Más del 60 % de los empleos creados en pandemia fueron informales,2
No hay fuerza más grande que la esperanza,3
Más de 50 000 escolares abandonaron clases tras la pandemia,2
El sol volverá a brillar sobre nuestra tierra,3
El 45 % de los jóvenes peruanos trabaja sin contrato formal,2
"Se presenta como humilde, pero desprecia a los demás",0
"[ADVERSARIO] viven del privilegio, [PARTIDO] vivimos de la esperanza",1
"[ADVERSARIO] almuerzan en restaurantes de lujo, [PARTIDO] hacemos cola por un plato de arroz",1
"[PARTIDO] somos mayoría, [ADVERSARIO] son ruido",1
"[ADVERSARIO] confunden crítica con traición, [PARTIDO] sabemos que es deber",1
Habla de libertad y censura a sus críticos,0
"[ADVERSARIO] nos dividen, [PARTIDO] seguimos resistiendo",1
El 70 % de las regiones no cumple metas ambientales,2
El acceso a internet rural apenas cubre el 25 % de los hogares,2
"[PARTIDO] ponemos los votos, [ADVERSARIO] ponen las condiciones",1
"[PARTIDO] gritamos verdad, [ADVERSARIO] gritan orden",1
El índice de confianza en las instituciones cayó por quinto año consecutivo,2
Hoy el pueblo vuelve a tener la palabra,3
"[ADVERSARIO] dividen regiones, [PARTIDO] unimos corazones",1
"[ADVERSARIO] nos llaman revoltosos, [PARTIDO] nos llamamos ciudadanos",1
El 80 % de los trabajadores agrícolas no tiene contrato,2
"El déficit fiscal se redujo al 2,1 % del PBI en el último año",2
La inversión pública regional cayó 14 % respecto al año anterior,2
El 40 % de las familias peruanas vive sin acceso a alcantarillado,2
Los tiempos mejores están a la vuelta de la esquina,3
"[ADVERSARIO] nos llaman resentidos, [PARTIDO] los llamamos responsables",1
La contaminación del aire en Lima excede tres veces los límites de la OMS,2
El 50 % de los conflictos sociales está relacionado con minería,2
"[ADVERSARIO] viven de los impuestos, [PARTIDO] los pagamos",1
El que se dice demócrata insulta cada vez que alguien lo contradice,0
El 70 % de los municipios no cuenta con planta de reciclaje,2
Promete eficiencia y culpa al pasado de su incompetencia,0
Uno de cada tres jóvenes no estudia ni trabaja,2
El 80 % de las viviendas informales no cumple normas de seguridad,2
El Perú que soñamos está más cerca que nunca,3
Se presenta como patriota y vende el país por contrato,0
"Porque el Perú no se rinde, el Perú se levanta",3
"[ADVERSARIO] invierten en propaganda, [PARTIDO] invertimos en esperanza",1
Somos los constructores del mañana,3
"[ADVERSARIO] celebran, [PARTIDO] seguimos luchando",1
La esperanza de vida en zonas rurales es cinco años menor que en Lima,2
Hoy empieza una nueva etapa de transformación,3
Habla de unidad nacional y no puede unir a su equipo,0
El 90 % de las cárceles del país está en estado de hacinamiento,2
Este es el momento de transformar la historia,3
No hay montaña tan alta cuando la voluntad es firme,3
"[ADVERSARIO] viven del pasado, [PARTIDO] soñamos el futuro",1
Ha llegado la hora de creer otra vez,3
[POLÍTICO] político cambia de discurso como de corbata,0
"[PARTIDO] producimos riqueza, [ADVERSARIO] la esconden",1
"[ADVERSARIO] destruyen el país con decretos, [PARTIDO] lo construimos con trabajo",1
Habla de los valores y los vende al mejor postor,0
Promete meritocracia y coloca a sus amigos,0
El 30 % de las universidades no cuenta con docentes a tiempo completo,2
Hoy es el momento de volver a empezar,3
"Unidos, nada ni nadie podrá detenernos",3
"[ADVERSARIO] tienen poder, [PARTIDO] tenemos dignidad",1
"Predica esperanza, pero actúa con miedo",0
"[ADVERSARIO] se creen dueños del país, [PARTIDO] lo mantenemos vivo",1
Nuestra unión será la semilla del futuro,3
La esperanza iluminará nuestro camino,3
"[ADVERSARIO] reparten privilegios, [PARTIDO] compartimos necesidad",1
Predica humildad con chofer y escolta,0
El 80 % de los gobiernos locales cambia su personal técnico cada gestión,2
Cada peruano es protagonista del cambio,3
"El pueblo peruano nunca se rinde, siempre avanza",3
"[ADVERSARIO] viven de promesas, [PARTIDO] de esfuerzo",1
El Perú será ejemplo de transformación,3
El 70 % de las familias rurales produce para autoconsumo,2
El 80 % de las universidades privadas no cumple estándares de investigación,2
